
2026-07-01 23:28:04,223 | INFO     | Networks | line:218 | Closing receive_tcp
2026-07-01 23:28:06,247 | INFO     | Networks | line:313 | backend chat instance CLOSED
2026-07-01 23:28:06,247 | INFO     | Networks | line:95 | shutting broadcast
2026-07-01 23:28:06,247 | INFO     | Networks | line:137 | Closing listener
2026-07-01 23:28:06,247 | INFO     | Networks | line:368 | [Shutdown]: Background engine tasks canceled.

2026-07-01 23:28:08,983 | INFO     | Main | line:78 | building setup screen
2026-07-01 23:28:08,983 | INFO     | Main | line:137 | building chat page
2026-07-01 23:28:08,994 | INFO     | Main | line:40 | Starting encryption processes
2026-07-01 23:28:10,938 | INFO     | Main | line:45 | starting the frontend
2026-07-01 23:28:13,939 | INFO     | Main | line:112 | Name selected: Ujjwal
2026-07-01 23:28:13,939 | INFO     | Main | line:113 | redirecting to the chat page
2026-07-01 23:28:13,979 | INFO     | Networks | line:358 | Starting the backend server.
2026-07-01 23:28:13,980 | INFO     | Networks | line:86 | Starting Broadcast
2026-07-01 23:28:13,980 | INFO     | Networks | line:107 | starting listener

2026-07-01 23:28:17,422 | INFO     | Main | line:78 | building setup screen
2026-07-01 23:28:17,423 | INFO     | Main | line:137 | building chat page
